"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -1.335897281,      -15.09077987,      -15.96135218,       4.742022682, -7.855528248e-009,  3.387520936e-007,                 0
          0,           0,           1,       -1.44756852,     -0.4875772199,      -1.372223238,       4.630351442, -8.433837854e-009,   3.38759028e-007,                 0
          0,           0,           2,      -1.755136776,     -0.9890856325,       -1.74090049,       4.322783186, -7.532668754e-009,  3.379371115e-007,                 0
          0,           0,           3,      -1.895737266,      -1.451192288,      -2.039440194,       4.182182696, -5.271161964e-009,  3.379371115e-007,                 0
          0,           0,           4,       -1.95354785,      -1.631412817,      -2.070615963,       4.124372113, -5.271161964e-009,  3.379371115e-007,                 0
          0,           0,           5,      -2.002204165,      -1.705217308,      -2.076389089,       4.075715797, -5.271161964e-009,  3.379371115e-007,                 0
          0,           0,           6,      -2.042016745,      -1.754710603,      -2.083059294,       4.035903218, -5.271161964e-009,  3.379371115e-007,                 0
          0,           0,           7,      -2.075519535,      -1.792933375,      -2.090021128,       4.002400427, -5.271161964e-009,  3.379371115e-007,                 0
          0,           0,           8,      -2.104909039,      -1.824297171,      -2.096811643,       3.973010923, -5.271161964e-009,  3.379371115e-007,                 0
          0,           0,           9,      -2.131638344,      -1.851025133,      -2.103017298,       3.946281618, -5.271161964e-009,  3.379371115e-007,                 0
          0,           0,          10,      -2.156718553,      -1.874386587,      -2.108150592,       3.921201409, -5.271161964e-009,  3.379371115e-007,                 0
          0,           0,          11,      -2.180938492,       -1.89512235,      -2.111679995,        3.89698147, -5.271161964e-009,  3.379371115e-007,                 0
          0,           0,          12,      -2.204932908,      -1.913601437,      -2.113043345,       3.872987055, -5.271161964e-009,  3.379371115e-007,                 0
          0,           0,          13,      -2.229180726,      -1.929914465,       -2.11163507,       3.848739236, -5.271161964e-009,  3.379371115e-007,                 0
          0,           0,          14,       -2.25396874,      -1.943969493,      -2.106957163,       3.823951223, -5.271161964e-009,  3.379371115e-007,                 0
          0,           0,          15,      -2.279113672,      -1.955699248,      -2.099034874,        3.79880629, -5.271161964e-009,  3.379371115e-007,                 0
          0,           0,          16,      -2.303853031,      -1.965430201,      -2.088603746,       3.774066931, -5.271161964e-009,  3.379371115e-007,                 0
          0,           0,          17,       -2.32714442,      -1.973956339,      -2.076910773,       3.750775543, -5.271161964e-009,  3.379371115e-007,                 0
          0,           0,          18,      -2.348431109,       -1.98216636,      -2.064888367,       3.729488853, -5.271161964e-009,  3.379371115e-007,                 0
          0,           0,          19,        -2.3680489,      -1.990061291,      -2.052011477,       3.709871062, -5.271161964e-009,  3.379371115e-007,                 0
