"Time_Iter","Outer_Iter","Inner_Iter",    "rms[P][0]"   ,    "rms[U][0]"   ,    "rms[V][0]"   ,    "rms[T][0]"   ,    "bgs[P][0]"   ,    "bgs[U][0]"   ,    "bgs[V][0]"   ,    "bgs[T][0]"   ,      "HF[0]"     ,    "maxHF[0]"    ,     "Temp[0]"    ,"LinSolIter[0]",  "LinSolRes[0]"  , "Avg_Massflow[0]",   "Avg_Mach[0]"  ,   "Avg_Temp[0]"  ,  "Avg_Press[0]"  , "Avg_Density[0]" , "Avg_Enthalpy[0]","Avg_NormalVel[0]",  "Uniformity[0]" ,"Secondary_Strength[0]","Momentum_Distortion[0]","Secondary_Over_Uniformity[0]","Avg_TotalTemp[0]","Avg_TotalPress[0]","Pressure_Drop[0]",    "rms[T][1]"   ,    "bgs[T][1]"   ,      "HF[1]"     ,    "MaxHF[1]"    ,   "AvgTemp[1]"   
          0,           0,           0,      -1.335897281,      -15.09077987,      -15.96135218,      -9.028639025,      -3.784185169,      -1.177354224,      -6.921209945,      -3.784125315,       512.8668442,        2431.22863,                 0,              5, -3.569136491e-006,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,      -6.189217697,      -3.735885735,  1.929826306e-012,                 0,               338
          0,           1,           0,      -1.420865253,     -0.4994566806,      -1.443245613,       4.465577788,      0.8973646445,      -1.214749748,      -2.105317099,      0.6806340879,       17155423.73,       74771627.56,                 0,              5,      -3.162242005,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,      -1.726274448,       0.729425883, -6.759876415e-011,                 0,               338
          0,           2,           0,      -1.749427221,      -1.182627218,      -1.870580086,       4.032476154,      0.8320274782,      -1.442014838,      -1.989602672,      0.7262111016,      -50315651.29,       256639732.8,                 0,              5,      -2.755635952,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,      -1.306282517,       1.179583205, -1.093305055e-010,                 0,               338
          0,           3,           0,      -1.886265989,      -1.536007458,      -2.107977598,       4.895497721,      0.7855751385,       -1.52831381,      -1.944197097,      0.8897705833,       -43379766.3,       434478531.8,                 0,              5,       -3.57973216,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,      -1.118148376,        1.40033239, -1.709763533e-011,                 0,               338
          0,           4,           0,      -1.972220137,      -1.661251022,      -2.117175184,       5.035251953,       0.751620984,      -1.573902667,      -1.918921239,       1.087809819,      -56710877.45,       672983433.5,                 0,              5,      -3.646708238,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,     -0.9484019672,       1.586096629, -9.283441408e-010,                 0,               338
          0,           5,           0,      -2.029092209,      -1.727173494,       -2.11496417,       5.172137966,      0.7278272447,      -1.603933926,      -1.902552951,       1.264450584,      -89190495.86,        1016020476,                 0,              5,      -3.689836954,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,     -0.7799647393,       1.762364316, -1.869254401e-008,                 0,               338
          0,           6,           0,      -2.063205457,       -1.76981597,      -2.111785121,       5.321753419,      0.7111891176,      -1.626579207,      -1.891717975,       1.420472465,       63351009.48,        1730223498,                 0,              5,      -3.732385305,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,     -0.5514750506,       1.981620319, -2.172895422e-007,                 0,               338
          0,           7,           0,      -2.083181541,      -1.803091223,      -2.116823834,       5.636681313,        0.69958095,      -1.643737378,       -1.88438069,       1.616843678,       558508197.9,        3360700443,                 0,              5,      -3.920856113,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,     -0.2980746125,       2.227778451, -1.641498535e-006,                 0,               338
          0,           8,           0,      -2.106343386,      -1.807484944,      -2.118686994,       5.892914379,      0.6915118806,      -1.656588554,      -1.878941444,       1.848996744,        1813662284,        6769873408,                 0,              5,      -4.051973879,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,    -0.02626335472,       2.494402014, -9.135346359e-006,                 0,               338
          0,           9,           0,      -2.127086283,      -1.806781249,      -2.120118432,       6.165773462,      0.6858366096,      -1.665735043,      -1.874289229,       2.105576047,        4721526711,  1.369330134e+010,                 0,              5,      -4.193510638,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                      0,                       0,                             0,                 0,                  0,                 0,      0.2588289417,       2.776146549, -4.030359153e-005,                 0,               338
